Bin 0,Passed
Bin 1,Current Failure
Bin 2,Power Failure
Bin 3,Frequency Failure
Bin 4,1k Phase Noise Failure
Bin 5,800k Phase Noise Failure

PID,Test,Bin,DIE_X,DIE_Y,TEMPERATURE_VE__3.3,FreqOut_VE__3.3,Pout_VE__3.3,Icc_VE__3.3,PhaseNoise_1K_VE__3.3,PhaseNoise_800K_VE__3.3
PID-354,T2A,4,-1,6,0,2605.67016601563,-6.01394886016846,9.53279781341553,-66.6567306518555,-138.88020324707
PID-471,T1A,0,-16,21,0,-3895.20376007,-5.87814373016357,9.52761554718018,-74.5290222167969,-141.50390625
PID-471,T1B,0,-16,21,0,-3895.57820888,-5.88464349746704,9.52345752716064,-76.5013275146484,-140.932205200195
PID-471,T2A,4,-16,21,0,2596.13623046875,-6.15175813674927,9.52901744842529,-65.770133972168,-141.37873840332
PID-331,T1A,0,33,2,0,-537.427656488,-6.11969989776611,9.56680679321289,-69.0848388671875,-133.608825683594
PID-331,T1B,0,33,2,0,-536.77237107,-6.11571067810059,9.57620048522949,-69.7743988037109,-133.651702880859
PID-331,T2A,4,33,2,0,2606.5966796875,-6.18443960189819,9.54526710510254,-67.096923828125,-133.832534790039
PID-451,T1A,4,-3,18,0,2607.33203125,-6.16934627532959,9.61938858032227,-67.8454971313477,-131.772109985352
PID-451,T1B,0,-3,18,0,-255.842150353,-6.17399448394775,9.62068367004395,-69.8707962036133,-131.665786743164
PID-451,T2A,4,-3,18,0,2605.94750976563,-6.27693885803223,9.61291027069092,-67.5715408325195,-132.12907409668
PID-337,T1A,0,-9,3,0,-840.918418087,-5.91701930999756,9.56076145172119,-72.0600357055664,-138.907348632813
PID-337,T1B,0,-9,3,0,-841.012030291,-5.91601175308228,9.57042407989502,-74.9219512939453,-138.622161865234
PID-337,T2A,4,-9,3,0,2602.03662109375,-6.16791481018066,9.57015419006348,-67.007194519043,-140.333969116211
PID-137,T1A,2,23,-29,0,3250.36157226563,-48.2870115661621,9.91354942321777,-75.2823181152344,-99.9459991455078
PID-137,T1B,2,23,-29,0,3238.99487304688,-48.2888388061523,9.91835403442383,-77.6596069335938,-101.654937744141
PID-137,T2A,2,23,-29,0,3242.90625,-48.3020491027832,9.85724258422852,-70.2346572875977,-95.8703231811523
PID-275,T1A,0,-19,-8,0,-971.226604436,-6.12338108062744,9.71294498443604,-77.4780807495117,-145.253677368164
PID-275,T1B,0,-19,-8,0,-970.758543424,-6.11655181884766,9.71429252624512,-77.7400588989258,-145.636810302734
PID-275,T2A,1,-19,-8,0,3261.61474609375,-48.293630065918,0.00280773360282183,-58.5950241088867,-82.5741500854492
PID-276,T1A,0,-13,-8,0,-491.744901503,-5.78100961685181,9.78123378753662,-75.3664855957031,-144.951553344727
PID-276,T1B,0,-13,-8,0,-491.838513708,-5.78112071990967,9.78765869140625,-75.4143371582031,-145.449371337891
PID-276,T2A,1,-13,-8,0,3260.9853515625,-48.2925924682617,0.0021059347782284,-74.2925415039063,-105.568481445313
PID-277,T1A,0,-1,-8,0,-1387.89451927,-5.71316761016846,9.68206405639648,-74.8948974609375,-140.962326049805
PID-277,T1B,0,-1,-8,0,-1387.42645825,-5.70980686187744,9.68476295471191,-75.4112091064453,-141.305404663086
PID-277,T2A,1,-1,-8,0,3264.58032226563,-48.2917189025879,0.0055069625377655,-72.9114685058594,-100.17163848877
PID-270,T1A,0,-15,-11,0,-1409.79977473,-6.24760812759399,9.84434223175049,-80.9140472412109,-146.59489440918
PID-270,T1B,0,-15,-11,0,-1409.51893812,-6.24155181884766,9.85006427764893,-80.4588088989258,-147.519332885742
PID-270,T2A,1,-15,-11,0,3251.12231445313,-48.2910856628418,0.00437328312546015,-72.4361801147461,-98.0084991455078
PID-271,T1A,0,-21,-11,0,36.6023713114,-5.86897748947144,9.70306396484375,-75.3283081054688,-139.117065429688
PID-271,T1B,0,-21,-11,0,36.9768201227,-5.86700242996216,9.70527839660645,-75.4959030151367,-139.206314086914
PID-271,T2A,1,-21,-11,0,3266.24560546875,-48.2902197265625,0.0062627368606627,-80.1991958618164,-105.51106262207
PID-272,T1A,0,-27,-11,0,-1063.80907304,-6.29164737701416,9.49673557281494,-78.7876892089844,-146.628570556641
PID-272,T1B,0,-27,-11,0,-1063.80907304,-6.29044240951538,9.50245761871338,-79.2210998535156,-145.354293823242
PID-272,T2A,1,-27,-11,0,3263.27807617188,-48.290471496582,0.00253781210631132,-73.5610046386719,-100.041816711426
PID-273,T1A,0,-33,-11,0,-726.992367235,-6.52057308197021,9.4381628036499,-78.421745300293,-146.38591003418
PID-273,T1B,0,-33,-11,0,-726.711530625,-6.5135034942627,9.44204998016357,-79.4092178344727,-147.35009765625
PID-273,T2A,1,-33,-11,0,3260.42578125,-48.2894071960449,0.00313164154067636,-78.4369049072266,-100.727294921875
PID-278,T1A,0,5,-8,0,-181.607673505,-6.01775688171387,9.66230487823486,-75.5400772094727,-147.451568603516
PID-278,T1B,0,5,-8,0,-181.139612488,-6.01811403274536,9.67742252349854,-79.4673080444336,-146.187789916992
PID-278,T2A,1,5,-8,0,3251.0537109375,-48.2895292663574,0.00048639890155755,-73.5979690551758,-100.84969329834
PID-496,T1A,4,-7,27,0,2607.51928710938,-6.29278367996216,9.61776924133301,-67.8518676757813,-138.128890991211
PID-496,T1B,0,-7,27,0,-183.947978574,-6.29683250427246,9.61253261566162,-68.5504837036133,-138.160217285156
PID-496,T2A,0,-7,27,0,-1099.19448572,-6.38583654403687,9.60508155822754,-71.3858642578125,-138.675231933594
PID-251,T1A,0,15,-12,0,1149.18340203,-6.25540012359619,9.80595874786377,-70.158821105957,-138.447219848633
PID-251,T1B,0,15,-12,0,1150.11952406,-6.24952548980713,9.80558013916016,-68.8102951049805,-138.53303527832
PID-251,T2A,4,15,-12,0,2610.99438476563,-6.31851428985596,9.78673934936523,-67.9333877563477,-138.084396362305
